[STEP-START] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=load_previous_mappings message="load previous mappings"
[STEP-DONE] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=load_previous_mappings elapsed_ms=0 message="previous mappings loaded"
[STEP-START] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=fetch_shopify_variants message="fetch Shopify DOBA variants"
[PROGRESS] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=fetch_shopify_variants step=2/6 item=13048/13048 percent=100% ok=13048 skipped=0 failed=0 message="shopify variants fetched"
[STEP-DONE] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=fetch_shopify_variants elapsed_ms=107076 message="shopify variants fetched"
[STEP-START] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=fetch_doba_candidates message="fetch Doba by Shopify candidate SKUs"
[PROGRESS] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=fetch_doba_candidates step=3/6 item=13048/13048 percent=100% ok=13048 skipped=0 failed=0 message="doba candidate lookup finished"
[STEP-DONE] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=fetch_doba_candidates elapsed_ms=1313741 message="doba candidate lookup finished"
[STEP-START] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_previous_mapping message="match previous mappings"
[STEP-DONE] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_previous_mapping elapsed_ms=2 message="previous mapping pass finished"
[STEP-START] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku message="match Shopify candidates to Doba SKUs"
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=1/13048 doba_sku=D0102HHHDIP shopify_variant_id=gid://shopify/ProductVariant/51357209002290 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=2/13048 doba_sku=D0102HHHDI8 shopify_variant_id=gid://shopify/ProductVariant/51357209133362 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=3/13048 doba_sku=D0102HHHM5P shopify_variant_id=gid://shopify/ProductVariant/51357209198898 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=4/13048 doba_sku=D0102HHHMVP shopify_variant_id=gid://shopify/ProductVariant/51357209264434 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=5/13048 doba_sku=D0102HHHZX6 shopify_variant_id=gid://shopify/ProductVariant/51357209592114 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=6/13048 doba_sku=D0102HHHZZ6 shopify_variant_id=gid://shopify/ProductVariant/51357214015794 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=7/13048 doba_sku=D0102HHHZUJ shopify_variant_id=gid://shopify/ProductVariant/51357514563890 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=8/13048 doba_sku=D0102HHH872 shopify_variant_id=gid://shopify/ProductVariant/51357514760498 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=9/13048 doba_sku=D0102HHH858 shopify_variant_id=gid://shopify/ProductVariant/51357516300594 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=10/13048 doba_sku=D0102HHH8R2 shopify_variant_id=gid://shopify/ProductVariant/51357516529970 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=11/13048 doba_sku=D0102HHH8S2 shopify_variant_id=gid://shopify/ProductVariant/51357517021490 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=12/13048 doba_sku=D0102HHH8IX shopify_variant_id=gid://shopify/ProductVariant/51357517283634 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=13/13048 doba_sku=D0102HHH8IT shopify_variant_id=gid://shopify/ProductVariant/51357517414706 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=14/13048 doba_sku=D0102HHH8L6 shopify_variant_id=gid://shopify/ProductVariant/51357517480242 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=15/13048 doba_sku=D0102HHH8ZP shopify_variant_id=gid://shopify/ProductVariant/51357517513010 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=16/13048 doba_sku=D0102HHH88X shopify_variant_id=gid://shopify/ProductVariant/51357642359090 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=17/13048 doba_sku=D0102HHH882 shopify_variant_id=gid://shopify/ProductVariant/51357642588466 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=18/13048 doba_sku=D0102HHH8WJ shopify_variant_id=gid://shopify/ProductVariant/51357642916146 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=19/13048 doba_sku=D0102HHH8W8 shopify_variant_id=gid://shopify/ProductVariant/51357643374898 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=20/13048 doba_sku=D0102HHH8UX shopify_variant_id=gid://shopify/ProductVariant/51357644882226 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=21/13048 doba_sku=D0102HHHWQX shopify_variant_id=gid://shopify/ProductVariant/51357646061874 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=22/13048 doba_sku=D0102HHHWJ8 shopify_variant_id=gid://shopify/ProductVariant/51357647831346 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=23/13048 doba_sku=D0102HHHW6X shopify_variant_id=gid://shopify/ProductVariant/51357649404210 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=24/13048 doba_sku=D0102HHHWNX shopify_variant_id=gid://shopify/ProductVariant/51357651501362 status=active reason_code=matched_by_exact_sku
[ITEM] batch=15725c10-cdcf-47b9-827e-f9172ea7ce40 phase=match_exact_sku index=25/13048 doba_sku=D0102HHHWTT shopify_variant_id=gid://shopify/ProductVariant/51357654188338 status=active reason_code=matched_by_exact_sku
